case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,BalancedZippelSeparated,1,0,41.080,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,1,0,23.410,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLeePruned,1,0,31.890,25,0,1,3,1,2,3,0,0
paper_eq3,CuytLee,1,0,33.740,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,2,0,24.930,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLeePruned,2,0,30.551,25,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,2,0,39.220,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,2,0,32.930,28,0,1,3,1,2,3,0,0
paper_eq3,CuytLeePruned,3,0,29.540,25,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,3,0,23.390,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,3,0,31.940,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,3,0,3110.492,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippelSeparated,1,0,40.911,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,1,0,23.380,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLeePruned,1,0,37.000,27,1,1,3,1,2,3,0,0
firefly_shift,CuytLee,1,0,42.600,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,2,0,25.200,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLeePruned,2,0,37.080,27,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,2,0,41.051,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,2,0,39.841,28,1,1,3,1,2,3,0,0
firefly_shift,CuytLeePruned,3,0,35.230,27,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,3,0,25.540,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,3,0,39.510,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,3,0,39.370,29,0,1,4,0,2,3,2,1
sparse3,BalancedZippelSeparated,1,0,370.171,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,1,0,198.481,99,0,1,3,0,4,3,3,0
sparse3,CuytLeePruned,1,0,429.091,144,0,1,4,15,4,3,0,0
sparse3,CuytLee,1,0,341.092,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,2,0,206.860,99,0,1,3,0,4,3,3,0
sparse3,CuytLeePruned,2,0,326.002,144,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,2,0,368.561,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,2,0,328.951,175,0,1,4,15,4,3,0,0
sparse3,CuytLeePruned,3,0,3452.073,144,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,3,0,224.821,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,3,0,355.101,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,3,0,377.301,186,0,1,6,0,4,3,6,1
sparse4,BalancedZippelSeparated,1,0,247.711,134,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,1,0,128.760,70,0,1,4,0,4,3,6,0
sparse4,CuytLeePruned,1,0,179.631,92,0,1,5,11,4,3,0,0
sparse4,CuytLee,1,0,201.671,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,2,0,133.770,70,0,1,4,0,4,3,6,0
sparse4,CuytLeePruned,2,0,173.961,92,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,2,0,238.411,134,0,1,8,0,4,3,12,1
sparse4,CuytLee,2,0,189.241,116,0,1,5,11,4,3,0,0
sparse4,CuytLeePruned,3,0,186.461,92,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,3,0,130.070,70,0,1,4,0,4,3,6,0
sparse4,CuytLee,3,0,185.091,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,3,0,237.301,134,0,1,8,0,4,3,12,1
homogeneous_shift,BalancedZippelSeparated,1,0,168.040,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,1,0,88.381,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLeePruned,1,0,166.100,78,4,1,4,8,3,3,0,0
homogeneous_shift,CuytLee,1,0,167.420,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,2,0,90.471,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLeePruned,2,0,156.551,78,4,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,2,0,162.431,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,2,0,171.710,104,1,1,4,8,3,3,0,0
homogeneous_shift,CuytLeePruned,3,0,152.021,78,4,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,3,0,89.950,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,3,0,155.231,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,3,0,166.151,94,0,1,6,0,3,3,6,1
dense_total3,BalancedZippelSeparated,1,0,653.842,255,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,1,0,376.721,142,0,1,3,0,35,20,18,0
dense_total3,CuytLeePruned,1,0,274.921,94,0,1,4,14,35,20,0,0
dense_total3,CuytLee,1,0,359.151,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,2,0,3526.514,142,0,1,3,0,35,20,18,0
dense_total3,CuytLeePruned,2,0,308.201,94,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,2,0,684.513,255,0,1,6,0,35,20,36,1
