case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,CuytLee,1,0,40.880,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,1,0,41.930,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,1,0,23.390,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,2,0,39.931,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,2,0,35.660,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,2,0,24.140,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,3,0,23.280,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,3,0,33.640,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,3,0,38.280,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,4,0,210.041,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,4,0,39.450,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,4,0,38.850,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,5,0,39.730,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,5,0,22.100,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,5,0,34.610,28,0,1,3,1,2,3,0,0
paper_eq3,CuytLee,6,0,31.661,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,6,0,23.441,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,6,0,37.950,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,7,0,32.960,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,7,0,38.620,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,7,0,22.351,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippelSeparated,8,0,38.391,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,8,0,32.040,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,8,0,22.090,16,0,1,2,0,2,3,1,0
paper_eq3,BalancedZippel,9,0,23.460,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,9,0,32.070,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,9,0,38.451,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,1,0,37.120,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,1,0,40.720,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,1,0,24.280,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,2,0,40.741,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,2,0,38.020,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,2,0,23.680,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,3,0,24.110,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,3,0,37.150,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,3,0,39.720,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,4,0,24.511,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,4,0,39.481,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,4,0,36.890,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,5,0,40.550,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,5,0,23.890,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,5,0,38.080,28,1,1,3,1,2,3,0,0
firefly_shift,CuytLee,6,0,36.430,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,6,0,24.780,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,6,0,40.390,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,7,0,37.010,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,7,0,41.231,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,7,0,22.860,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippelSeparated,8,0,40.120,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,8,0,53.300,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,8,0,23.890,16,0,1,2,0,2,3,1,0
firefly_shift,BalancedZippel,9,0,24.151,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,9,0,36.821,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,9,0,39.790,29,0,1,4,0,2,3,2,1
sparse3,CuytLee,1,0,339.901,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,1,0,374.021,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,1,0,216.381,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,2,0,370.302,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,2,0,340.721,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,2,0,224.171,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippel,3,0,201.601,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,3,0,335.951,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,3,0,393.162,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,4,0,202.161,99,0,1,3,0,4,3,3,0
sparse3,BalancedZippelSeparated,4,0,365.562,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,4,0,448.712,175,0,1,4,15,4,3,0,0
